Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
0,"performance_analyzing.exe",0,100.00,0.00,0.00,0.00,"",
1,"mainCRTStartup",1,100.00,0.05,14.33,0.01,"performance_analyzing.exe",
2,"__scrt_common_main",1,99.95,7.74,14.33,1.11,"performance_analyzing.exe",
3,"__scrt_common_main_seh",1,92.21,0.08,13.22,0.01,"performance_analyzing.exe",
4,"invoke_main",1,90.57,0.01,12.98,0.00,"performance_analyzing.exe",
5,"main",1,90.56,0.13,12.98,0.02,"performance_analyzing.exe",
6,"OCB_enc_dyc",2,55.63,0.45,3.99,0.03,"performance_analyzing.exe",
7,"AESEncryption",6,23.01,0.11,0.55,0.00,"performance_analyzing.exe",
8,"mixColumns",54,14.94,1.57,0.04,0.00,"performance_analyzing.exe",
9,"R_Boxes","1,728",13.31,10.29,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",864,1.25,0.88,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",864,0.37,0.37,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",864,0.93,0.61,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",864,0.32,0.32,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode","1,728",0.84,0.84,0.00,0.00,"performance_analyzing.exe",
9,"_RTC_CheckStackVars",54,0.03,0.03,0.00,0.00,"performance_analyzing.exe",
9,"__security_check_cookie",54,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",54,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
8,"SubShiftRow",60,7.94,0.52,0.02,0.00,"performance_analyzing.exe",
9,"R_Boxes",960,7.41,6.16,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",960,1.01,0.64,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",960,0.37,0.37,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode",960,0.24,0.24,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",60,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
8,"_RTC_CheckStackVars",6,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
8,"__security_check_cookie",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"OCB_init",2,16.43,0.29,1.18,0.02,"performance_analyzing.exe",
8,"AESEncryption",4,15.76,0.15,0.56,0.01,"performance_analyzing.exe",
9,"mixColumns",36,9.46,0.65,0.04,0.00,"performance_analyzing.exe",
10,"R_Boxes","1,152",8.76,6.63,0.00,0.00,"performance_analyzing.exe",
11,"R_Boxes",576,1.02,0.41,0.00,0.00,"performance_analyzing.exe",
12,"_RTC_CheckStackVars",576,0.61,0.61,0.00,0.00,"performance_analyzing.exe",
11,"R_Boxes",576,0.79,0.53,0.00,0.00,"performance_analyzing.exe",
12,"_RTC_CheckStackVars",576,0.26,0.26,0.00,0.00,"performance_analyzing.exe",
11,"__CheckForDebuggerJustMyCode","1,152",0.32,0.32,0.00,0.00,"performance_analyzing.exe",
10,"__security_check_cookie",36,0.03,0.03,0.00,0.00,"performance_analyzing.exe",
10,"_RTC_CheckStackVars",36,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode",36,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"SubShiftRow",40,6.13,0.38,0.02,0.00,"performance_analyzing.exe",
10,"R_Boxes",640,5.74,3.69,0.00,0.00,"performance_analyzing.exe",
11,"R_Boxes",640,1.81,1.53,0.00,0.00,"performance_analyzing.exe",
12,"_RTC_CheckStackVars",640,0.28,0.28,0.00,0.00,"performance_analyzing.exe",
11,"__CheckForDebuggerJustMyCode",640,0.25,0.25,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode",40,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"_RTC_CheckStackVars",4,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"__security_check_cookie",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"L_Array_Length",2,0.20,0.00,0.01,0.00,"performance_analyzing.exe",
9,"log2",2,0.12,0.12,0.01,0.01,"ucrtbased.dll",
9,"ceil",2,0.07,0.07,0.01,0.01,"ucrtbased.dll",
9,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"str_to_Uchar_array",2,0.11,0.04,0.01,0.00,"performance_analyzing.exe",
9,"hex_to_int",64,0.07,0.02,0.00,0.00,"performance_analyzing.exe",
10,"hex_to_int",62,0.04,0.04,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode",64,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
10,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"Array_1d_to_2d",2,0.02,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",2,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
8,"OCB_L_Shift",4,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"xor_arrays",8,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",8,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"_RTC_CheckStackVars",2,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
8,"OCB_R_Shift",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"Array_2d_to_1d",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"ntz",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__security_check_cookie",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"__DebuggerCurrentSteppingThreadId",2,13.34,0.12,0.96,0.01,"performance_analyzing.exe",
8,"inverseMixedColumn",18,10.72,0.71,0.09,0.01,"performance_analyzing.exe",
9,"R_Boxes","1,152",9.97,8.09,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",288,0.59,0.50,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",288,0.09,0.09,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",288,0.35,0.18,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",288,0.17,0.17,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",288,0.35,0.25,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",288,0.10,0.10,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",288,0.34,0.17,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",288,0.17,0.17,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode","1,152",0.24,0.24,0.00,0.00,"performance_analyzing.exe",
9,"_RTC_CheckStackVars",18,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
9,"__security_check_cookie",18,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",18,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"inverseSubShiftRow",20,2.50,0.28,0.02,0.00,"performance_analyzing.exe",
9,"R_Boxes",320,2.21,1.88,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",320,0.27,0.19,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",320,0.09,0.09,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode",320,0.07,0.07,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",20,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"_RTC_CheckStackVars",2,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
8,"__security_check_cookie",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"round_keys_generator",2,0.88,0.03,0.06,0.00,"performance_analyzing.exe",
8,"Rot_Sub_Rcon_word",20,0.84,0.05,0.01,0.00,"performance_analyzing.exe",
9,"R_Boxes",80,0.78,0.65,0.00,0.00,"performance_analyzing.exe",
10,"R_Boxes",80,0.12,0.05,0.00,0.00,"performance_analyzing.exe",
11,"_RTC_CheckStackVars",80,0.07,0.07,0.00,0.00,"performance_analyzing.exe",
10,"__CheckForDebuggerJustMyCode",80,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"_RTC_CheckStackVars",20,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",20,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__security_check_cookie",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"_RTC_CheckStackVars",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"plainntext_to_blocks",2,0.37,0.11,0.03,0.01,"performance_analyzing.exe",
8,"hex_to_int",192,0.21,0.08,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",192,0.05,0.05,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",83,0.03,0.03,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",7,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",26,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",9,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",7,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",7,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",7,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",3,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"zero_padding",2,0.04,0.02,0.00,0.00,"performance_analyzing.exe",
9,"_RTC_CheckStackVars",2,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
9,"__security_check_cookie",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"_RTC_CheckStackVars",2,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
8,"__security_check_cookie",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"str_to_Uchar_array",2,0.32,0.20,0.02,0.01,"performance_analyzing.exe",
8,"hex_to_int",64,0.12,0.07,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",34,0.02,0.02,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",64,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"hex_to_int",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"__chkstk",2,0.24,0.24,0.02,0.02,"performance_analyzing.exe",
7,"ciphertext_blocks_to_str",2,0.20,0.07,0.01,0.00,"performance_analyzing.exe",
8,"int_to_hex",136,0.13,0.05,0.00,0.00,"performance_analyzing.exe",
9,"__CheckForDebuggerJustMyCode",136,0.04,0.04,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",27,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",26,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",9,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",7,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",7,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",7,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",7,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",6,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",5,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",4,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
9,"int_to_hex",3,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",2,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"Tag_remover",1,0.18,0.01,0.03,0.00,"performance_analyzing.exe",
8,"__chkstk",1,0.09,0.09,0.01,0.01,"performance_analyzing.exe",
8,"strncpy",2,0.07,0.07,0.01,0.01,"ucrtbased.dll",
8,"_RTC_CheckStackVars",1,0.01,0.01,0.00,0.00,"performance_analyzing.exe",
8,"__CheckForDebuggerJustMyCode",1,0.00,0.00,0.00,0.00,"performance_analyzing.exe",
7,"array_1d_to_str",2,0.12,0.05,0.01,0.00,"performance_analyzing.exe",
8,"int_to_hex",64,0.07,0.03,0.00,0.00,"performance_analyzing.exe",
