Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Caller,__CheckForDebuggerJustMyCode,AESEncryption,10,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,Array_1d_to_2d,12,0.02,0.02,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,array_1d_to_str,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,Array_2d_to_1d,12,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,ciphertext_blocks_to_str,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,error_Handler,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,hex_to_int,320,0.08,0.08,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,int_to_hex,200,0.06,0.06,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,inverseMixedColumn,18,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,inverseSubShiftRow,20,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,L_Array_Length,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,main,1,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,mixColumns,90,0.03,0.03,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,ntz,4,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,Number_of_Blocks,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,OCB_enc_dyc,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,OCB_init,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,OCB_L_Shift,4,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,OCB_R_Shift,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,plainntext_to_blocks,2,0,0,0,0,performance_analyzing.exe
,,,,,,,,
Caller,__CheckForDebuggerJustMyCode,R_Boxes,"6,032",1.97,1.97,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,Rot_Sub_Rcon_word,20,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,round_keys_generator,2,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,str_to_Uchar_array,4,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,SubShiftRow,100,0.02,0.02,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,Tag_remover,1,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,xor_arrays,32,0,0,0,0,performance_analyzing.exe
Caller,__CheckForDebuggerJustMyCode,zero_padding,2,0,0,0,0,performance_analyzing.exe
,,,,,,,,
