# Simultaneously Switching Noise (SSN) Report
# Version: 1.0
# Created on: Mon May 15 16:25:08 2023
# Result Name: ssn_1
# Project Name: project_22
# Project Family: Kintex-7
# Part: xc7k325tffg900
# Temperature Grade: commercial
# SSN Data Version: Production
# Package Version: FINAL 2012-06-12
# Package Pin Delay Version: FINAL VER. 2.0 2012-06-12

IO Bank,VCCO,Signal Name,Pin Number,IO Standard,Drive (mA),Slew Rate,OFFCHIP_TERM,Remaining Margin (%),Result, Notes
15,2.5,rs232_uart_txd,K24,LVCMOS25,12,SLOW,FP_VTT_50,99.7,PASS,
32,1.5,ddr3_sdram_dm[0],Y16,SSTL15,,FAST,FP_VTT_50,85.4,PASS,
32,1.5,ddr3_sdram_dm[1],AB17,SSTL15,,FAST,FP_VTT_50,76.5,PASS,
32,1.5,ddr3_sdram_dm[2],AF17,SSTL15,,FAST,FP_VTT_50,69.7,PASS,
32,1.5,ddr3_sdram_dm[3],AE16,SSTL15,,FAST,FP_VTT_50,68.5,PASS,
32,1.5,ddr3_sdram_dq[0],AA15,SSTL15_T_DCI,,FAST,FP_VTT_50,82.8,PASS,
32,1.5,ddr3_sdram_dq[1],AA16,SSTL15_T_DCI,,FAST,FP_VTT_50,79.5,PASS,
32,1.5,ddr3_sdram_dq[2],AC14,SSTL15_T_DCI,,FAST,FP_VTT_50,73.6,PASS,
32,1.5,ddr3_sdram_dq[3],AD14,SSTL15_T_DCI,,FAST,FP_VTT_50,77.6,PASS,
32,1.5,ddr3_sdram_dq[4],AA17,SSTL15_T_DCI,,FAST,FP_VTT_50,80.0,PASS,
32,1.5,ddr3_sdram_dq[5],AB15,SSTL15_T_DCI,,FAST,FP_VTT_50,73.7,PASS,
32,1.5,ddr3_sdram_dq[6],AE15,SSTL15_T_DCI,,FAST,FP_VTT_50,77.2,PASS,
32,1.5,ddr3_sdram_dq[7],Y15,SSTL15_T_DCI,,FAST,FP_VTT_50,86.6,PASS,
32,1.5,ddr3_sdram_dq[8],AB19,SSTL15_T_DCI,,FAST,FP_VTT_50,76.4,PASS,
